,cohort_month,cohort,distinct_cust_count,%Alive,E(% Alive),P(ChurnTime = t),E(# of Cust),t * P(ChurnTime = t)
0,2018-01-01,0,987.0,1.0,1.0000000000000002,1.0000000000000002,987.0000000000002,0.0
1,2018-02-01,1,869.0,0.8804457953394124,0.8490964124747086,0.15090358752529165,838.0581591125374,0.15090358752529165
2,2018-03-01,2,743.0,0.7527862208713273,0.746902472971126,0.10219393950358258,737.1927408225014,0.20438787900716515
3,2018-04-01,3,653.0,0.6616008105369807,0.6721419947498724,0.07476047822125365,663.404148818124,0.22428143466376094
4,2018-05-01,4,593.0,0.6008105369807497,0.6145587879682338,0.05758320678163853,606.5695237246467,0.23033282712655412
5,2018-06-01,5,551.0,0.5582573454913881,0.5685398099584321,0.0460189780098017,561.1487924289725,0.23009489004900852
6,2018-07-01,6,517.0,0.5238095238095238,0.5307288931960542,0.03781091676237791,523.8294175845054,0.22686550057426746
7,2018-08-01,7,491.0,0.49746707193515705,0.4989835490548662,0.031745344141188014,492.4967629171529,0.2222174089883161
8,2018-09-01,8,468.0,0.47416413373860183,0.4718652483405975,0.027118300714268684,465.73100011216974,0.21694640571414947
9,2018-10-01,9,445.0,0.4508611955420466,0.44836853442954905,0.02349671391104846,442.53974348196493,0.21147042519943615
10,2018-11-01,10,427.0,0.4326241134751773,0.4277672535042086,0.02060128092534047,422.2062792086539,0.2060128092534047
11,2018-12-01,11,409.0,0.414387031408308,0.4095224975152647,0.018244755988943873,404.19870504756625,0.2006923158783826
12,2019-01-01,12,394.0,0.39918946301925023,0.3932250196524834,0.016297477862781296,388.11309439700113,0.19556973435337555
13,2019-02-01,13,,,0.3785578606357528,0.014667159016730602,373.636608447488,0.19067306721749783
14,2019-03-01,14,,,0.3652713179620684,0.013286542673684398,360.52279082856154,0.18601159743158158
15,2019-04-01,15,,,0.3531657209596205,0.012105597002447899,348.57456658714545,0.18158395503671848
16,2019-05-01,16,,,0.3420792938077678,0.011086427151852707,337.6322629882668,0.1773828344296433
17,2019-06-01,17,,,0.3318794238285703,0.010199869979197529,327.5649913187989,0.173397789646358
18,2019-07-01,18,,,0.32245626263882643,0.009423161189743845,318.2643312245217,0.1696169014153892
19,2019-08-01,19,,,0.3137179589685613,0.008738303670265124,309.63962550197,0.16602776973503736
20,2019-09-01,20,,,0.30558705409051523,0.008130904878046075,301.61442238733855,0.1626180975609215
21,2019-10-01,21,,,0.2979977196053776,0.007589334485137655,294.1237492505077,0.15937602418789076
22,2019-11-01,22,,,0.2908936148494626,0.007104104755914997,287.1119978564196,0.15629030463012994
23,2019-12-01,23,,,0.2842262064019923,0.006667408447470269,280.5312657187664,0.15335039429181618
24,2020-01-01,24,,,0.27795343657617083,0.006272769825821478,274.3400419006806,0.15054647581971548
25,2020-02-01,25,,,0.27203865852466635,0.005914778051504477,268.50215596384567,0.14786945128761192
26,2020-03-01,26,,,0.2664497772061355,0.005588881318530858,262.9859301024557,0.14531091428180232
27,2020-04-01,27,,,0.26115855086999745,0.005291226336138044,257.7634897086875,0.1428631110757272
28,2020-05-01,28,,,0.2561400188464826,0.005018532023514877,252.8101986014783,0.14051889665841655
29,2020-06-01,29,,,0.2513720295640409,0.004767989282441654,248.1041931797084,0.13827168919080796
30,2020-07-01,30,,,0.24683484872884678,0.004537180835194138,243.62599569537178,0.13611542505582414
31,2020-08-01,31,,,0.24251083209059188,0.004324016638254907,239.35819127341418,0.13404451578590212
32,2020-09-01,32,,,0.2383841506048171,0.004126681485774775,235.28515664695448,0.1320538075447928
33,2020-10-01,33,,,0.23444055837751618,0.003943592227300924,231.39283111860846,0.1301385435009305
34,2020-11-01,34,,,0.2306671957544725,0.0037733626230436745,227.66852220966436,0.12829432918348493
35,2020-12-01,35,,,0.2270524214467488,0.003614774307723695,224.10073996794108,0.12651710077032932
36,2021-01-01,36,,,0.2235856687748245,0.0034667526719243114,220.67905508075177,0.12480309618927521
37,2021-02-01,37,,,0.2202573220492856,0.0033283467255388888,217.3939768626449,0.12314882884493888
38,2021-03-01,38,,,0.2170586098444115,0.00319871220487411,214.23684791643416,0.12155106378521618
39,2021-04-01,39,,,0.21398151250838782,0.003077097336023682,211.19975284577876,0.1200067961049236
40,2021-05-01,40,,,0.2110186817239592,0.002962830784428605,208.27543886154774,0.1185132313771442
41,2021-06-01,41,,,0.20816337031065463,0.0028553114133045843,205.4572464966161,0.11706776794548795
42,2021-07-01,42,,,0.2054093707660497,0.0027539995446049237,202.73904894609106,0.1156679808734068
43,2021-08-01,43,,,0.20275096129140407,0.002658409474645629,200.11519879461582,0.11431160740976204
44,2021-09-01,44,,,0.20018285825021562,0.0025681030411884576,197.58048109296283,0.11299653381229213
45,2021-10-01,45,,,0.1977001741748862,0.002482684075329422,195.13007191061268,0.111720783389824
46,2021-11-01,46,,,0.19529838057377685,0.002401793601109342,192.75950162631776,0.11048250565102974
47,2021-12-01,47,,,0.19297327490487345,0.002325105668903399,190.4646223311101,0.10927996643845975
